product_title,product_price,product_image,product_hyperlink
"$4.98
each
($0.71 / oz)
H-E-B Fresh Guacamole - Mild, 7 oz
In Produce on the Front Wall",$4.98,https://images.heb.com/is/image/HEBGrocery/prd-small/001281063.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-guacamole-mild/1281063
"$4.79
each
($0.40 / oz)
H-E-B Queso Blanco Dip - Mild, 12 oz
In Meat Market on the Back Wall",$4.79,https://images.heb.com/is/image/HEBGrocery/prd-small/002088337.jpg?v=1,https://www.heb.com/product-detail/h-e-b-queso-blanco-dip-mild/2088337
"$2.48
each
($0.15 / oz)
H-E-B Regular Sour Cream, 16 oz
In Dairy on the Back Wall",$2.48,https://images.heb.com/is/image/HEBGrocery/prd-small/000314026.jpg?v=1,https://www.heb.com/product-detail/h-e-b-regular-sour-cream/314026
"$5.89
each
($0.37 / oz)
H-E-B Extra Lean Ground Turkey Breast, 99% Lean, 16 oz
In Meat Market on the Right Wall",$5.89,https://images.heb.com/is/image/HEBGrocery/prd-small/000529847.jpg?v=1,https://www.heb.com/product-detail/h-e-b-extra-lean-ground-turkey-breast-99-lean/529847
"$0.83
each
($0.87 / lb)
Fresh White Onion, Avg. 0.955 lb
In Produce",$0.83,https://images.heb.com/is/image/HEBGrocery/prd-small/001180528.jpg?v=1,https://www.heb.com/product-detail/fresh-white-onion/1180528
"$2.50
each
($1.97 / lb)
Fresh Tomatoes on the Vine (4-5 Tomatoes), Avg. 1.27 lbs
In Produce",$2.50,https://images.heb.com/is/image/HEBGrocery/prd-small/000471240.jpg?v=1,https://www.heb.com/product-detail/fresh-tomatoes-on-the-vine-4-5-tomatoes-/471240
"$3.69
each
($0.28 / oz)
H-E-B Mi Tienda Squeezable Crema Agria Mexican-Style Sour Cream, 13 oz
In Meat Market on the Back Wall",$3.69,https://images.heb.com/is/image/HEBGrocery/prd-small/008283003.jpg?v=1,https://www.heb.com/product-detail/h-e-b-mi-tienda-squeezable-crema-agria-nbsp-mexican-style-sour-cream/8283003
"$2.98
each
($0.37 / oz)
H-E-B Monterey Jack Shredded Cheese, 8 oz
In Meat Market on the Back Wall",$2.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000126021.jpg?v=1,https://www.heb.com/product-detail/h-e-b-monterey-jack-shredded-cheese/126021
"$8.78
each
($3.99 / lb)
H-E-B Seasoned Boneless Skinless Chicken Thighs for Fajitas, Avg. 2.2 lbs
In Meat Market on the Right Wall",$8.78,https://images.heb.com/is/image/HEBGrocery/prd-small/000372471.jpg?v=1,https://www.heb.com/product-detail/h-e-b-seasoned-boneless-skinless-chicken-thighs-for-fajitas/372471
"$3.68
each
($1.23 / ct)
H-E-B Fresh Sunrise Bell Peppers, 3 ct
In Produce",$3.68,https://images.heb.com/is/image/HEBGrocery/prd-small/004915011.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-sunrise-bell-peppers/4915011
"$4.98
each
($0.31 / oz)
H-E-B Fresh Salsa - Medium Spicy, 16 oz
In Produce on the Front Wall",$4.98,https://images.heb.com/is/image/HEBGrocery/prd-small/001655218.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-salsa-medium-spicy/1655218
"$3.20
each
($0.20 / oz)
H-E-B Mi Tienda Salsa Roja - Medium, 16 oz
In Dairy on the Back Wall",$3.20,https://images.heb.com/is/image/HEBGrocery/prd-small/012017018.jpg?v=1,https://www.heb.com/product-detail/h-e-b-mi-tienda-salsa-roja-medium/12017018
"$2.29
each
($0.13 / oz)
H-E-B Mi Tienda Frijoles Pintos Refritos Refried Beans, 17.6 oz
Front Edge of Deli",$2.29,https://images.heb.com/is/image/HEBGrocery/prd-small/001705165.jpg?v=1,https://www.heb.com/product-detail/h-e-b-mi-tienda-frijoles-pintos-refritos-refried-beans/1705165
"$13.52
each
($6.29 / lb)
Hill Country Fare Seasoned Beef for Fajitas, Avg. 2.15 lbs
In Meat Market on the Right Wall",$13.52,https://images.heb.com/is/image/HEBGrocery/prd-small/000372333.jpg?v=1,https://www.heb.com/product-detail/hill-country-fare-seasoned-beef-for-fajitas/372333
"$1.98
each
($0.66 / oz)
H-E-B Fresh Diced Jalapeno - Single Serve, 3 oz
In Produce on the Front Wall",$1.98,https://images.heb.com/is/image/HEBGrocery/prd-small/004469524.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-diced-jalapeno-single-serve/4469524
"$6.99
each
H-E-B Deli Filled Tortelloni Pasta – Ricotta & Spinach - Family Size, 24 oz",$6.99,https://images.heb.com/is/image/HEBGrocery/prd-small/002093945.jpg?v=1,https://www.heb.com/product-detail/h-e-b-deli-filled-tortelloni-pasta-ndash-ricotta-spinach-family-size/2093945
